"dv","predictor","r","n","p_low","p_high","p_tost","eq"
"mean_F3_6","height",0.0280088393210004,79,0.0002078942130328,0.00117749837847103,0.00117749837847103,TRUE
"mean_F3_6","Grip_MAX_both",0.00128262696932998,79,0.000488971128243976,0.00052937041812074,0.00052937041812074,TRUE
"mean_F3_6","BMI",0.00404949302695718,79,0.000448609520868115,0.000576391776641057,0.000576391776641057,TRUE
"mean_F3_6","WHR",0.028456016344472,79,0.000204849631225024,0.00119284864610464,0.00119284864610464,TRUE
"mean_F4_6","height",-0.141417107994504,79,0.0204545154405227,2.99446998728496e-06,0.0204545154405227,TRUE
"mean_F4_6","Grip_MAX_both",-0.063163136909319,79,0.00312624528373018,6.22751089202443e-05,0.00312624528373018,TRUE
"mean_F4_6","BMI",-0.168780474031896,79,0.0359298862208508,9.15545440831735e-07,0.0359298862208508,TRUE
"mean_F4_6","WHR",-0.0981862682785229,79,0.0076146380401747,1.7038958266116e-05,0.0076146380401747,TRUE
