"Model","F","p","R2","Adj_R2","AICc","dR2"
"Base",0.218749850746302,0.804026836426053,0.00572362653411151,-0.0204415411886751,972.404995280737,NA
"Full",0.827113986124202,0.552758035687553,0.0644816898812107,-0.0134781692953549,976.850215228679,0.0587580633470992
