"Predictor","M0_b_se","M1_b_se","M2_b_se","M3_b_se","M0_p_fmt","M1_p_fmt","M2_p_fmt","M3_p_fmt"
"(Intercept)","2881.81 (569.84)","2679.17 (769.40)","2617.75 (846.83)","2618.30 (871.49)","0.000","0.001","0.003","0.004"
"mean_F0_6","0.52 (0.67)","0.60 (0.73)","0.61 (0.74)","0.61 (0.77)","0.443","0.413","0.413","0.430"
"age","-6.76 (26.11)","-7.05 (26.54)","-7.25 (26.86)","-7.26 (28.17)","0.796","0.791","0.788","0.797"
"height","","1.11 (2.44)","1.21 (2.59)","1.18 (2.60)","","0.651","0.641","0.652"
"BMI","","0.31 (4.91)","-0.20 (5.29)","-0.23 (5.53)","","0.950","0.970","0.967"
"WHR","","","76.86 (282.21)","79.03 (303.31)","","","0.786","0.795"
"Grip_MAX_both","","","","0.13 (3.40)","","","","0.970"
