"Predictor","b_M0","SE_M0","p_M0","b_M1","SE_M1","p_M1","b_M2","SE_M2","p_M2","b_M3","SE_M3","p_M3"
"(Intercept)",3747.85865037733,338.818595467268,1.69612136571782e-17,4463.99824577927,648.46519015873,1.61648454660152e-09,4599.55624423326,722.140684335827,1.50256676984219e-08,4597.65174491219,728.720484658965,2.01920020841727e-08
"mean_F0_6",0.333850063944664,0.926698898047095,0.719653995154809,0.0533836850990346,1.11422277675851,0.961916132697041,0.0356158960333656,1.1210587372286,0.974742273722029,0.0271424021859425,1.1773204156431,0.981670663475115
"age",6.79821857710555,13.3356610309559,0.611684627537099,9.51373800484171,13.1937543553189,0.473132967647816,9.95349625115548,13.0898591868446,0.449466050683846,9.97212217528626,13.242047284228,0.453866219931565
"height",NA,NA,NA,-3.25058062461834,3.07642344393553,0.294126767953615,-3.48286082386645,3.25450998773126,0.288070990331142,-3.36003056843011,3.33135731003665,0.316540753047322
"BMI",NA,NA,NA,-7.95421074691558,5.95100579806386,0.185443046203561,-6.83086219941125,6.2902243581049,0.281074637582655,-6.72623368946128,6.48269453772656,0.302943478361595
"WHR",NA,NA,NA,NA,NA,NA,-169.660247112738,227.283251559971,0.457780562034781,-177.188214048246,230.371928981817,0.444326174977528
"Grip_MAX_both",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.442332236246088,3.58343946223943,0.902104285303923
