"Model","F","p","R2","Adj_R2","AICc","dR2"
"Base",0.267710826518887,0.765847497883225,0.00699573663375149,-0.0191359545074656,915.014181387111,NA
"Full",0.439067067254812,0.850340738448757,0.035297427442178,-0.0450944536043072,921.987351807143,0.0283016908084265
