"Predictor","b_M0","SE_M0","p_M0","b_M1","SE_M1","p_M1","b_M2","SE_M2","p_M2","b_M3","SE_M3","p_M3"
"(Intercept)",2881.80891872016,569.83552694279,2.86559894428659e-06,2679.16735784576,769.396227437562,0.000838444528416453,2617.75298103411,846.827753339494,0.00282152393761623,2618.30005081487,871.486298091978,0.00365921284063471
"mean_F0_6",0.51897744018663,0.672381670190237,0.442597023699756,0.60048615978365,0.729306189563092,0.412945359396353,0.608535833762565,0.73838231714164,0.41254049233777,0.610969855329323,0.769708743328193,0.4299390543841
"age",-6.75886452327328,26.1051514911862,0.796405240816238,-7.05090606662892,26.5403314029202,0.791233964279895,-7.25013797439653,26.8597006946154,0.787978598651348,-7.25548829409362,28.1703123761346,0.797482769488578
"height",NA,NA,NA,1.1076987716206,2.44086095523224,0.651290308865245,1.21293301707423,2.59094271509081,0.641076729238871,1.1776498745871,2.5979084464554,0.651690995480138
"BMI",NA,NA,NA,0.30634807554751,4.91269757750705,0.950445530293359,-0.20258353877307,5.29086655218233,0.969561546481778,-0.232638207402279,5.52952388584328,0.966557744271403
"WHR",NA,NA,NA,NA,NA,NA,76.8643566958286,282.209688109777,0.786109442913529,79.0267744900468,303.308966918781,0.795184237815623
"Grip_MAX_both",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12706048084552,3.39580444927508,0.9702561467146
