"Predictor","Base_b_se","Full_b_se","Base_p_fmt","Full_p_fmt"
"Intercept","3978.16 (267.39)","4484.11 (492.19)","0.000","0.000"
"Mean F0 (sentence)","0.39 (0.74)","-0.08 (0.81)","0.602","0.923"
"Age","-6.56 (9.59)","-2.78 (11.81)","0.496","0.815"
"Height","","-1.37 (2.18)","","0.533"
"BMI","","-6.17 (4.56)","","0.180"
"WHR","","-67.98 (256.58)","","0.792"
"Grip strength","","-2.32 (2.88)","","0.423"
